datum;tijd;temp;hum;PM2.5;PM10
10/10/2019;13:28;21.98;42.36;39.65;39.66
10/10/2019;13:29;22.11;42.93;41.40;41.41
10/10/2019;13:30;22.32;42.79;42.35;42.38
10/10/2019;13:31;22.49;40.89;37.36;37.38
10/10/2019;13:32;22.46;40.27;33.59;33.62
10/10/2019;13:33;22.57;40.20;34.45;34.47
10/10/2019;13:34;22.50;40.30;36.59;36.61
10/10/2019;13:35;22.59;40.18;35.80;35.82
datum;tijd;temp;hum;PM2.5;PM10
10/10/2019;13:28;22.24;41.04;36.56;36.71
10/10/2019;13:29;22.22;40.97;33.93;33.99
10/10/2019;13:30;22.30;40.87;34.78;34.83
10/10/2019;13:31;22.31;40.57;30.10;30.13
10/10/2019;13:32;22.23;40.70;30.90;30.93
10/10/2019;13:33;22.31;40.71;34.50;34.52
10/10/2019;13:34;22.31;40.68;34.32;34.33
datum;tijd;temp;hum;PM2.5;PM10
10/10/2019;13:28;22.14;41.08;28.99;29.00
10/10/2019;13:29;21.99;41.17;31.03;31.03
10/10/2019;13:30;21.89;41.64;32.44;32.44
10/10/2019;13:31;22.00;41.40;34.45;34.46
10/10/2019;13:32;22.01;41.33;35.97;35.97
10/10/2019;13:33;22.00;41.27;30.81;30.81
10/10/2019;13:34;22.02;41.22;31.71;31.72
10/10/2019;13:35;22.03;41.05;27.86;27.86
10/10/2019;13:36;22.04;40.93;29.61;29.62
10/10/2019;13:37;22.04;40.61;31.72;31.72
10/10/2019;13:38;22.06;40.53;25.93;25.93
10/10/2019;13:39;22.02;40.50;34.56;34.57
10/10/2019;13:40;21.99;40.50;30.74;30.75
10/10/2019;13:41;22.04;40.45;31.03;31.04
10/10/2019;13:42;21.99;40.43;27.15;27.15
10/10/2019;13:43;21.99;40.44;26.24;26.25
10/10/2019;13:44;21.99;40.42;33.25;33.25
10/10/2019;13:45;22.00;40.33;31.02;31.02
10/10/2019;13:46;21.95;40.36;31.99;31.99
10/10/2019;13:47;21.96;40.35;30.99;30.99
10/10/2019;13:48;21.97;40.32;26.94;26.94
10/10/2019;13:49;21.96;40.39;31.17;31.17
10/10/2019;13:50;21.93;40.36;31.17;31.18
10/10/2019;13:51;21.95;40.30;29.36;29.36
10/10/2019;13:52;21.95;40.29;25.96;25.96
10/10/2019;13:53;21.91;40.33;26.44;26.45
10/10/2019;13:54;21.87;40.40;29.83;29.84
10/10/2019;13:55;21.86;40.38;31.01;31.02
10/10/2019;13:56;21.84;40.38;29.60;29.61
10/10/2019;13:57;21.81;40.46;27.08;27.08
10/10/2019;13:58;21.79;40.49;26.59;26.59
10/10/2019;13:59;21.78;40.48;24.80;24.80
10/10/2019;14:0;21.79;40.49;31.37;31.37
10/10/2019;14:1;21.75;40.46;30.01;30.01
